Presentation Title,Description or Abstract,Organization1,Organization1_id,Organization2,Organization2_id,Organization3,Organization3_id,Organization4,Organization4_id,Organization5,Organization5_id,Organization6,Organization6_id,Organization7,Organization7_id,SustainabilityTopic1,SustainabilityTopic2,SustainabilityTopic3,AcademicDiscipline1,OfficeDepartment1,Tags,PresentationDate,ConferenceName,PresType,Author1_Name,Author1_Title,Author1_Org,Author1_OrgID,Author2_Name,Author2_Title,Author2_Org,Author2_OrgID,Author3_Name,Author3_Title,Author3_Org,Author3_OrgID,Author4_Name,Author4_Title,Author4_Org,Author4_OrgID,Author5_Name,Author5_Title,Author5_Org,Author5_OrgID,Author6_Name,Author6_Title,Author6_Org,Author6_OrgID,Author7_Name,Author7_Title,Author7_Org,Author7_OrgID,Author8_Name,Author8_Title,Author8_Org,Author8_OrgID,File1,File2,File3,File4
Successful Sustainability in Trumplandia: None of This New Reality is New to Me,"This presentation will seek to demonstrate the ways in which a sustainability program at a mid-sized private faith based university in Texas has not only sustained, but grown successfully, its sustainability efforts over the course of the last seven years, in the face of many of the same attitudes and issues now making themselves known at the national level. This session will seek to provide some insight as to how this sustainability program has been growing in the face the natural obstacles that come from its geography and demographics. Student engagement, campus and community marketing/PR initiatives, and overall messaging will be the main areas covered during the presentation. Lessons learned will also be a big focus of this session...because there have been quite a few of them. This session will challenge the status quo of sustainability in higher ed and seek to move the conversation into a more relevant arena, preparing programs for what is to come.",Baylor University,4423,,,,,,,,,,,,,Campus Engagement,Coordination & Planning,Public Engagement,,,change management,10/17/2017,AASHE,Presentation,Smith Getterman,Director of Sustainability and Special Projects,Baylor University,4423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Using Internet of Things to Track and Curb Energy Use in Dorms at Harvard University,"How can we use data to inform and accelerate energy savings in undergraduate dorms? A Harvard student-led project called Networked Energy-saving Temperature Sensors (NETS) sought to answer this question by designing a data-based Internet of Things (IoT) model that tracked indoor temperature and humidity levels in undergraduate dorms to inform ongoing energy management decisions. By recommending room assignments based on student thermal comfort preferences, the model aimed to simultaneously boost occupant comfort and energy savings.",Harvard University,4451,,,,,,,,,,,,,Energy,Buildings,Campus Engagement,,,"residence halls,tracking,energy management",10/16/2017,AASHE,Poster,AldÃ­s ElfarsdÃ³ttir,Environmental Engineering Concentrator and Undergraduate Resource Efficiency Program Captain,Harvard University,4451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Sustainability: University Procurement and Ethical Labor Standards,"Universities are the center of thought leadership, training global leaders and world citizens. Their business practices should reflect the same core values. Expanding on the anti-sweatshop movement that reformed licensed goods, our work is focused on uniting universities in their ethical labor standards through vendor codes of conduct and procurement standards. Sustainability needs to promote the social dimension for our global economy, and universities are positioned to leverage their shared vendors to promote businesses that are transparent and treat all workers in their supply chains with respect that meets high human rights standards. More specifically, students are partnering with faculty and world experts to 1) create ethical procurement standards for universities, and 2) innovate business models that can incorporate human rights without harming their business success. Since March of 2016, leading universities such as Harvard, Georgetown, Columbia, the University of California system, University of Michigan, and more are contributing in their unique roles as administrators, students, professors, sustainability directors, finance officers, human rights experts and more. The first policy implementation is aimed for the fall of 2018, but we are looking for every school to unite in order to make this a truly powerful movement across universities as we leverage cutting research, technology, and procurement management systems to ensure policies are put into practice.",Harvard University,4451,,,,,,,,,,,,,Purchasing,Food & Dining,,,,"labor issues,ethics",10/16/2017,AASHE,Poster,Diana Sheedy,,Harvard University,4451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500_Sheedy_3015.pdf,1500_Sheedy_3015_1102_193744.pdf,,
Developing a Green Office Program at your Institution,"Much of our work as sustainability officers is to encourage the campus community to embrace and live an environmentally sustainable lifestyle, While oftentimes initiatives will target students, eco-conscious purchasing and office practices on behalf of faculty and staff are of tantamount importance. Many institutions, including Harvey Mudd College, have implemented a Green Office Program to address those members of the campus community. At this session, attendees can learn about and share best practices regarding how institutions can put together their own Green Office Program, and what steps and obstacles they might encounter along the way. Louis Spanias, the Sustainability Program Manager at Harvey Mudd College in southern California, will offer his College's Green Office Program as a case study - sharing both best practices and learned lessons along the way. Campus sustainability professionals who are new to the field, or are at an institution new to campus sustainability, will benefit most from this presentation. The aim of this presentation is to inspire colleges and universities to consider the innovative ways in which faculty and staff can also embrace and foster a culture of environmental sustainability in their offices.",Harvey Mudd College,4452,,,,,,,,,,,,,Campus Engagement,Purchasing,,,,"green office,office certifications",10/17/2017,AASHE,Presentation,Louis Spanias,Sustainability Program Manager,Harvey Mudd College,4452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400_Spanias_2568.pptx,,,
The Beginnings of Zero Waste - Approaches and challenges to new waste diversion campaigns and initiatives.,"While zero waste and broader waste reduction initiatives are common in institutions of higher education, there are substantial challenges to launching those initiatives. As many sustainability professionals can attest, timing, promotion and campus community engagement are key components to launching successful waste initiatives on college campuses. At this session, attendees can learn about and share best practices regarding how institutions can begin formulating waste initiatives, or even a Zero Waste campaign more specifically. Louis Spanias, the Sustainability Program Manager at Harvey Mudd College in southern California, will offer his College's composting initiative as a case study. Campus sustainability professionals who are new to the field, or are at an institution new to campus sustainability, will benefit most from this presentation. The aim of this presentation is to inspire sustainability professionals to consider all of the steps involved in creating campus waste initiatives, which include but are not limited to: engaging students, faculty and staff, working closely with your Facilities staff and potentially your city waste division, and having the data available to show the impact of your work and the potential impact of newly developed initiatives.",Harvey Mudd College,4452,,,,,,,,,,,,,Waste,Campus Engagement,Food & Dining,,,"zero waste,compost,getting started,waste diversion",10/16/2017,AASHE,Poster,Louis Spanias,Sustainability Program Manager,Harvey Mudd College,4452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500_Spanias_2566.pdf,,,
The Intersection Between Sustainability and Human Health,"The Environmental Health Committee is part of the University of Arizona's Students for Sustainability organization. It consists of thirteen students who work together to implement projects involving sustainability and the impacts on personal and community health. The Environmental Health committee is the newest addition to the Students for Sustainability with our initial projects starting in Fall 2016. The committee's first project was the Environmental Health Panel which featured a group of professionals from the UA College of Public Health. We explored various topics including how health is impacted by environmental changes including air pollution, water quality, and disease transmission. The discussion focused on global, national, and local issues all with an underlying theme of social justice. In the following semesters, the Environmental Health committee intends to focus on implementing permanent programs within the University, including working with the U of A Parking and Transportation Services, creating a mental health and nature series with the Community Garden, and projects that will address the health of the homeless population of Tucson in an environmentally friendly way. This presentation will involve breakout sessions that explore topics in sustainability and how they relate back to human health along with a follow up discussion on how health is undeniably tied with the protection of our environment.",University of Arizona,4465,,,,,,,,,,,,,Wellbeing & Work,Campus Engagement,Diversity & Affordability,,,"human health,student organizations",10/16/2017,AASHE,Poster,Sara Bertram,Student,University of Arizona,4465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building a community of practice for applied learning for sustainability practitioners,"This meeting brings leaders and stakeholders interested in applied learning programs for sustainability outcomes together-catalyzing the development of a group of peers interested in collaborating on this topic. The meeting builds on a networking session that was held with over 25 participants in 2016 and workshops held on this topic in 2016, 2015, 2014 and 2013. Building effective applied learning for sustainability programs means to grow a program that transitions from individual projects to comprehensive programs while designing educational experiences, which balance student development with community impact. This process typically evolves over 4 phases: preparation, kick-off, acceleration, and institutionalization. We expect that participants will identify with one of the phases. Thus, to start building a community of peers, participants meet in the phase that best describes the situation at their institution. With the help of a facilitator, they network and exchange experiences and good practice pertinent to their context and how to prepare for moving to the next phase. After a few iterations, everyone comes to the plenary to report back and discuss ideas for moving forward in building a community. The hope would be that this session also helps forge some initial collaborations among participants that will continue beyond the session and into the work year.",Arizona State University,4531,,,,,,,,,,,,,Curriculum,Public Engagement,,,,"applied learning,community engagement,peer-to-peer",10/16/2017,AASHE,Presentation,Katja Brundiers,Research Assistant Professor,Arizona State University,4531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How to Streamline and Scale your Sustainability Certification Program,"Do you have green certifications to encourage and reward sustainability efforts on campus?? Do you manually send the results or certifications? Do you get live data for analysis that shows how many people have answered each question? In an effort to streamline and scale our program, we moved our certification program to Blackboard. In this presentation, we will provide a walk-through of the program on Blackboard and review the pros and cons. By the end of this session, attendees will have enough information to make a decision whether to and, if desired, begin moving their programs to Blackboard.",Arizona State University,4531,,,,,,,,,,,,,Campus Engagement,Coordination & Planning,,,,office certifications,10/16/2017,AASHE,Poster,Corey Hawkey,Assistant Director,Arizona State University,4531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500_Hawkey_2113.pdf,,,
Art for Science Community Challenge 2018: Climate Disruption,The 2017 March for Science was an unprecedented event of scientists and science advocates stepping out of the laboratories and into the avenues. Pennsylvania Avenue to be exact was the epicenter of these heroes of earth quaking to defend the role of science in policy and society. But was this event effective or only an echo chamber? How can a larger community advocate for scientists so scientists can be scientists? Earth Art for Science was created to take science advocacy out of the echo chamber and put scientists back into the laboratories.,Arizona State University,4531,,,,,,,,,,,,,Coordination & Planning,Campus Engagement,Public Engagement,,,"science march,arts & culture,sciences",10/16/2017,AASHE,Poster,Jason Zeikowitz,Student,Arizona State University,4531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500_Zeikowitz_2591.pdf,,,
Beyond Interpersonal Competence: Teaching and Learning Professional Skills in Sustainability,"Successful careers in sustainability are determined by positive real-world change towards sustainability. This success depends on professional skills in effective and compassionate communication, collaborative teamwork, or impactful stakeholder engagement, among others. These professional skills extend beyond content knowledge and methodical expertise. Current sustainability programs can do more to facilitate students' acquisition of such skills. This session starts with a brief presentation of the major domains of professional skills and their relevance for sustainability professional. It gives examples of activities to teach/learn these skills and shares lessons learned for future course development. The presentation is followed by an interactive discussion aimed at exchanging experiences of teaching and learning professional skills in sustainability. Session participants are invited to share the activities and assignments that they have found effective in their own practice. Pulling together the collective wisdom, we hope session participants will walk away with a jointly created resource list inspiring their own teaching.",Arizona State University,4531,,,,,,,,,,,,,Curriculum,Wellbeing & Work,,,,skill development,10/16/2017,AASHE,Presentation,Katja Brundiers,Research Assistant Professor,Arizona State University,4531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RightCycle: Comprehensive Recycling System at Arizona State University,"Although many products are potentially eligible for recycling, a countless number of recyclable products is being thrown away in trash bins in which ends up in landfills. There are abundant laboratories (biology, chemistry, research, academic, educational) that are still throwing out used gloves into the trash that only contributes to creating more sustainability wicked problems. Arizona State University currently has nearly 100,000 students enrolled and is considered as one of the largest universities in terms of student body. Laboratory course is a requirement for most students to earn a degree. Hence, the number of gloves used daily is enormous. RightCycle program at Arizona State University shows how business and campus can collaborate to contribute towards sustainable society. The purpose of this poster is to share how the introduction of such program implements the knowledge of engaging sustainable practices into its population. I will share how RightCycle's recycling system helps Arizona State University to achieve its sustainability goals. In addition, I will present how such program navigates to future-oriented thinking by providing an example of other recyclable product like a solar panel.",Arizona State University,4531,,,,,,,,,,,,,Waste,Campus Engagement,,,,"recycling,waste reduction",10/16/2017,AASHE,Poster,Junkee Ahn,"Sustainability Intern, Kimberly-Clark Professional",Arizona State University,4531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500_Ahn_2999.pptx,,,
Working in the Ivory Tower: Breaking Down the Walls of Academia,"Whether public or private, 2-year or 4-year, we all work in institutions of higher learning. Simply because of where we work, we may be at an advantage or disadvantage when it comes to engaging with our communities. Are we seen as respected experts in our field or know-it-all liberals? If a community member states, 'Oh, wow! I didn't think you worked at [name your institution]', is that taken as an insult or a compliment? In this session, participants will be challenged to think critically about their role in the community, particularly with individuals that are not like-minded. Should we be vanishing into the crowd or writing Letters to the Editor every week or maybe a little of both? Learn my experience working at a small, public institution in a rural Minnesota community situated between three tribal nations. Be prepared to engage in a dialogue with a lot more questions than answers.",Bemidji State University,4554,,,,,,,,,,,,,Public Engagement,,,,,community engagement,10/17/2017,AASHE,Presentation,Erika Bailey-Johnson,Sustainability Director,Bemidji State University,4554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1445_BaileyJohnson_2836.pptx,,,
Sub-Metering and Energy Dashboard Networking,"This networking session will allow individuals already engaged in a collaborative discussion about dashboards and energy metering to touch base. Any individuals wishing to learn more and become involved or those with best practices to share will also be welcomed. This session will be a 'round-robin' model; think of it as an electronic poster session, but for dashboards. Those wishing to share, please arrive at the session with your own connected device to highlight your work. We will use the conference app to share contact information. All are welcome; none may dominate.",Macalester College,4603,,,,,,,,,,,,,Energy,Buildings,Campus Engagement,,,"energy metering,dashboards",10/17/2017,AASHE,Presentation,Kurt Miller,Sustainability Project Coordinator,Macalester College,4603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundamentals of Project Management,"The long-term success of sustainability heavily depends on an institution's ability to implement change. The difficult part of implementing these changes is they often extend beyond the reach and scope of our offices in speciality, skill, finances, and politics. Participants will be able to dissect and examine previous Macalester College Sustainability Office projects to learn the fundamental skills of professional project management. It is with these skills you will be able to return to your campuses as an empowered bridge builder to aide in implementing positive change on your campus.",Macalester College,4603,,,,,,,,,,,,,Coordination & Planning,,,,,"project management,change management",10/16/2017,AASHE,Presentation,Kurt Miller,Sustainability Project Coordinator,Macalester College,4603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0915_Miller_2093.pdf,,,
Diversion Drama: A Waste Study in Residence Halls,"This spring the Skidmore Sustainability Office launched a waste study for four residence halls, which house a fourth of the on-campus student population. Preliminary waste assessments indicated that 50-60% of material in residence hall landfill bins was recyclable, and when students were off campus, college-wide diversion rates increased 20%. With support and input from Facilities, Housekeeping, and Residential Life, we began implementing changes: one residence area served as a control, the second incorporated improved waste infrastructure, the third received educational outreach and the fourth had both infrastructure and educational outreach. To improve infrastructure, additional signage was implemented and 41-quart trash bins were replaced with 2-quart bins. Student sustainability representatives were tasked with spearheading recycling surveys, outreach, and monthly audits. This study gave our Sustainability Office an opportunity to strengthen partnerships with Residence Life, collaborate with Facilities and Housekeeping, and it gave us insights on how to revitalize waste efforts in residence areas across campus.",Skidmore College,4696,,,,,,,,,,,,,Waste,Campus Engagement,,,,"residence halls,recycling",10/16/2017,AASHE,Poster,Jennifer Natyzak,Sustainability Fellow,Skidmore College,4696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Promoting Diversity in the College Landscape: Using Native Species to Create Ecosystems,"As institutions of progress and higher learning, colleges have a responsibility to model sustainable landscaping practices. This is true now more than ever with threats of climate change and concerns about stormwater management and species extinction. This talk will examine those concerns listed above, how colleges can respond to them using native plant species, what some colleges are currently doing, and how curriculum can incorporate the landscape as an educational tool.",Skidmore College,4696,,,,,,,,,,,,,Grounds,,,,,"landscaping,native plants",10/16/2017,AASHE,Poster,Kate Brittenham,,Skidmore College,4696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sparking Conversation and Collaboration Through Campus Conferences,"The campus community is a place of thought, innovation, and action, and these skills shouldn't stop at the campus boundaries; they are applicable to national and international issues. One solution is to bring community members together with the campus community for a weekend-long conference to share ideas and examples of individuals and groups working to make a difference. Creating a community of sharing, be it ideas or just time, sparks conversation and collaboration that will continue to grow after the event and empower attendees to make a difference. This session will share lessons learned from planning and hosting a campus conference and will provide steps to plan a similar event at other campuses.",Knox College,4708,,,,,,,,,,,,,Campus Engagement,Public Engagement,,,,events,10/16/2017,AASHE,Poster,Deborah Steinberg,,Knox College,4708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500_Steinberg_2617.pdf,,,
College & University Recycling Coalition (CURC) Membership Meeting,"Members and non-members alike are invited to join this annual CURC membership meeting. Board members will provide organizational updates, discuss current projects and share opportunities to get involved. The meeting will include an open forum for attendees to share input with CURC leadership. The College and University Recycling Coalition's mission is to advance recycling and sustainable materials management on college campuses. CURC does this in part by providing technical exchange opportunities and other resources to campus recycling and sustainability staff.",University of South Carolina,4756,,,,,,,,,,,,,Waste,Public Engagement,,,,recycling,10/17/2017,AASHE,Presentation,Larry Cook,Waste & Recycling Manager,University of South Carolina,4756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1245_Cook_2479.pptx,,,
Social Justice Through a Sustainability Lens,"In this interactive session, participants will develop their knowledge of social justice and will be able to recognize the intersectionality of these issues with the pillars of sustainability. Participants will explore the issue of environmental racism and how the sustainability movement can be a catalyst for social justice. This session will help participants to develop a better understanding of how social justice is among the most important element of sustainability. Participants will discuss the importance of viewing social justice through a sustainable lens and educating others to recognize the imbalance of the pillars of sustainability in these issues.",University of South Carolina,4756,,,,,,,,,,,,,Campus Engagement,Diversity & Affordability,,,,"social justice,intersectionality",10/15/2017,AASHE,Presentation,Ivy Sibley,Graduate Assistant for the Office of Sustainability,University of South Carolina,4756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sustainability Abroad: Best Practices in Iceland,"The aim of this poster is to give insight on how to create sustainable communities by providing examples of the best practices in the world's most sustainable country, Iceland. The presenter will share personal experiences from studying abroad in Iceland in order to convey the sustainable practices of the country. Topics will include sustainability in higher education, social sustainability, and sustainable living. The poster will inspire attendees to live holistically sustainable lives and incorporate some of the Icelandic practices into their work, communities and lives.",University of South Carolina,4756,,,,,,,,,,,,,Campus Engagement,Public Engagement,,,,"Iceland,study abroad",10/16/2017,AASHE,Poster,Ivy Sibley,Graduate Assistant for the Office of Sustainability,University of South Carolina,4756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental Education from the Caribbean to the Carolinas,"I have compared environmental education (EE) programs at USC, the greater Columbia area, and at tourist sites in St. Lucia in order to determine what methods of EE most effectively teach the public. I used surveys and attended some lessons in order to best understand each program and evaluate their success. Camp GLEA is a camp hosted by Sustainable Carolina at USC to teach Gardening and Literacy Education through the Arts. Kids learn the importance of gardening and environmental stewardship by helping in our garden, cooking what they harvest, and using their own artistic representation to depict nature. Additionally, I attended and helped lead several EE programs at Harbison State Forest. Thirdly, I explored how individuals are educated about the environment in various tourist sites around St. Lucia. These different programs will reach a wide variety of individuals. Kids of Camp GLEA come from underprivileged households while the other two South Carolina camps have more privileged individuals. St. Lucia will provide yet more diversity in age, culture, language, and social status. My presentation will provide conference attendees with a better understanding of successful methodologies to engage a variety of audiences in environmental education. They will also understand the importance of using an assessment to truly understand the success of a program and will be aware of programs, both educational and political, in St. Lucia and the rest of the Caribbean.",University of South Carolina,4756,,,,,,,,,,,,,Public Engagement,Curriculum,,,,"tourism,recreation",10/16/2017,AASHE,Poster,Max Ciarlone,LEAD Intern at Sustainable Carolina,University of South Carolina,4756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AASHE Advisory Council Meeting,All Advisory Council members are invited to attend this informal meeting to network and connect with one another and AASHE staff.,AASHE,5016,,,,,,,,,,,,,Public Engagement,,,,,engagement,10/16/2017,AASHE,Presentation,Crystal Simmons,Programs Coordinator,AASHE,5016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beyond the Triple Bottom Line; An Alternative Framework for Sustainability,"At nearly 25 years old, Elkington's triple bottom line is nearing obsolesce. While laudable in its intent to promote full cost accounting, the TBL's inherent focus on the economic sphere relegates the social and environmental spheres to externalities, in practice if not in word. To unwary organizations and individuals, the TBL's lack of applicability leads it to become little more than an organizational tool for greenwashing. In its place, new approaches, such as the Circles of Sustainability framework, show remarkable promise in not only promoting, but also operationalizing and assessing sustainability. Endorsed by the UN Global Compact Cities Programme, and tested in six major metropolises, the Circles of Sustainability framework is divided into four categories: economics, politics, ecology, and culture. These four categories, in turn, form an interconnected social domain, which is itself grounded within the natural world. By demoting economics to a sphere within the social domain, the Circles of Sustainability approach is better able illuminate each sphere and how they relate, in Paul James's words, 'to a systematic understanding of the social whole.' In this presentation, we apply the Circles of Sustainability framework, to a seventh city Charleston, South Carolina. As a rapidly developing (and gentrifying) coastal city with a history of civil rights challenges, Charleston is an ideal case study of the applicability and usefulness of this new approach.",College of Charleston,5047,,,,,,,,,,,,,Research,Coordination & Planning,,,,triple bottom line,10/16/2017,AASHE,Presentation,Craig Bennett,,College of Charleston,5047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0915_Bennett_2645.pptx,,,
How Learning Interdependently in Outdoor Settings can Induce a Paradigm Shift & Foster a Yearn to Protect the Natural World,"As a vice president of the College of Charleston's Outdoors Club and long-time outdoor enthusiast, I have found that exposing people to the natural world has been one of the most prominent catalysts in creating an appreciation and love for it. Segments of society have evolved a profound disconnection with nature, which allows people to live out their lives 'business as usual' without seeing the implications of their actions. Problem solving and taking on new experiences in the outdoors with groups of people caters to self-discovery, a sense of spirituality, and allows the stripping down of material comforts, which most come to realize they are happier without. One holistically learns about themselves as along with the beauty and processes of what sustains life and modestly surrounds us every day. Team-building and experiential learning out of the classroom have proven to be most of the most effective and progressive ways to absorb new information and provide a route to apply knowledge to help better the world. This is apropos to sustainability and education because it engages people in rigorous learning while committing to living intentionally and prioritizing community while being aware and mindful of our actions towards each other and the planet rooted in a sense of empathy and personal experience.",College of Charleston,5047,,,,,,,,,,,,,Campus Engagement,,,,,"nature,recreation,outdoor learning",10/15/2017,AASHE,Presentation,Ashley Lavender,"Intern and Student Coordinator, Office of Sustainability",College of Charleston,5047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1130_Lavender_2751.pptx,,,
Bicycle Parking Assessment at the College of Charleston,"The College of Charleston's Sustainable Transportation Program, managed by the College's Office of Sustainability, is dedicated to providing accessible transportation options for students as well as advocating for a bike and pedestrian friendly community. In addition to maintaining a small bike share program, the STP promotes bike safety, hosts bike maintenance workshops, and works with other campus and community organizations. Although the program started with only 8 bikes, it has grown beyond its bike share origins to include collaborative projects with other offices across campus, such as Facilities Planning. One of the most recent projects, beginning in the fall of 2015, is a tri-color bike rack scheme meant to reduce bike parking congestion in the high-traffic areas of campus as identified in the College's 2013 Transportation Report. This project involves reserving certain colors of racks for certain users; black being for general use, maroon for residential use, and gold for commuter use. During the summer and fall of 2016 a trial run of the project was implemented on a single block of campus. Preliminary assessments show that this project has been highly effective in reducing bike parking congestion and has a generally-high favorability rating among users. Because of these positive results, the STP will likely be expanding this project into other problem areas on campus.",College of Charleston,5047,,,,,,,,,,,,,Transportation,Coordination & Planning,,,,"bikes,parking,assessment",10/16/2017,AASHE,Poster,Logan Johnson,Bike Share Senior Intern,College of Charleston,5047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Street Harassment Assessment at the College of Charleston,"Colleges and universities in urban areas are made up of many different types of environments. The nonprofit organization Stop Street Harassment, defines street harassment as 'unwanted whistling, leering, sexist, homophobic or transphobic slurs, persistent requests for someone's name, number or destination after they've said no, sexual names, comments and demands, following, flashing, public masturbation, groping, sexual assault, and rape'. Students attending school in a midsize urban area such as Charleston, South Carolina are likely to be exposed to street harassment. Street harassment can affect the way students learn, communicate, and interact on campus with their peers. The aim of this research is to display street harassment that the students at the College of Charleston face. This research will be used to create a safer college experience for all students. Workshops, focus groups, and an anti-street harassment week will all stem from the data.",College of Charleston,5047,,,,,,,,,,,,,Campus Engagement,Diversity & Affordability,,,,"safety,gender",10/16/2017,AASHE,Poster,Kenndal Rote,Office of Sustainability Intern,College of Charleston,5047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"An Introduction to the Role of Race, Class and Gender Issues On Campus Sustainability Work","This introductory session explores the powerfully important ways that dynamics of race, class and gender (RCG) impact the efficacy of our campus sustainability work, and then suggests how a racial justice, economic justice, and gender justice framework can substantially deepen that very same work. The session begins with a brief framing of the connection between RCG issues and sustainability, followed by the outlining of a social justice lens that can be used address them. The session utilizes reflective writing, paired discussion and small group conversation to foster participant engagement and is best suited for those with very little understanding of social justice issues.",Hackman Consulting Group,5108,,,,,,,,,,,,,Diversity & Affordability,Campus Engagement,Public Engagement,,,"gender,race & ethnicity,social justice",10/16/2017,AASHE,Presentation,Heather Hackman,Founder and President,Hackman Consulting Group,5108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"To Come Together, We Must Transform What's Divided Us: Utilizing a Social Justice Lens for Collective Campus Sustainability Work","As evidenced over the last 24 months, a lack of critical understanding of social justice issues makes collaborative work across multiple lines of identity near impossible, while thoughtful attention to social justice issues can build unexpected and highly effective coalitions. The former, of course, works in opposition to the urgent need for solidarity with respect to climate, environmental and sustainability issues, thus highlighting the importance of utilizing a social justice lens in our sustainability work. As such, this cross-disciplinary workshop is designed to take campus sustainability work to a deeper level, via the use of a critical 'social justice lens' (SJL), so as to improve its efficacy, deepen its reach and power, and ultimately align it more closely with 21st century climate realities. Based on workshops Dr. Hackman has presented across the country, this interactive session begins by setting forth the core components of a critical SJL, then makes explicit connections for its use and transformative import in this current climate change / sustainability moment, and concludes with the presentation of concrete steps regarding the application of a SJL to sustainability work on our campuses via case studies and participant examples. The session is grounded in theory (for a shared framework), but spends the bulk of its time in dialogue, application and integration of the content into participants' specific settings. A range of presentation modalities will be used.",Hackman Consulting Group,5108,,,,,,,,,,,,,Diversity & Affordability,Campus Engagement,Public Engagement,,,"social justice,collaboration",10/15/2017,AASHE,Presentation,Heather Hackman,Founder and President,Hackman Consulting Group,5108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In Serving Solidarity, Let's Talk about Privilege: Critical Conversations About 'Unsustainable' Race, Class & Gender Privilege","While attention to the ways dynamics of racism, classism and gender oppression target people of color and native people, poor and working class people, and cisgender women and trans* folks is critically important to our sustainability work, too often the 'other side' of these dynamics are left invisible and thus unchallenged and unchanged. More specifically, while some campuses are willing to consider the impacts of racism on their sustainability work, less frequent is the willingness to look at the ways white privilege has impacted that work. This half-day workshop is designed to help participants dive more deeply into the complicated and often fraught conversation about race, class and gender privilege in the service of developing more collaborative campus sustainability efforts. To be sure this is not a session mired in guilt, shame and blame, and instead: 1) explores these dynamics of privilege through a social justice lens, 2) identifies the unconscious and unintentional ways race, class and gender privilege thwart collective sustainability work on our campuses, 3) suggests ways to interrupt and dismantle these privileged dynamics, and then 4) connects this social justice work to the creation of effective and forward-thinking campus sustainability efforts. The workshop is a balance of presentation and practical application, and audience participation is important for its success.",Hackman Consulting Group,5108,,,,,,,,,,,,,Diversity & Affordability,Campus Engagement,Public Engagement,,,"privilege,intergroup dialogue,discrimination response,race & ethnicity",10/18/2017,AASHE,Presentation,Heather Hackman,Founder and President,Hackman Consulting Group,5108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Why a Social Justice Framework Is the Only Way to Collective Climate Justice and Deep Sustainability,"This poster session lays out the rationale for the absolute need for a social justice framework when doing climate justice and sustainability work by making three essential points: 1. How a socially unjust worldview has lead us to this climate moment, 2. What a social justice worldview is and how can it help us move equitably and sustainably through of this climate moment, 3. How we can directly connect this awareness to our campus sustainability work.",Hackman Consulting Group,5108,,,,,,,,,,,,,Diversity & Affordability,Campus Engagement,Public Engagement,,,"social justice,climate change",10/16/2017,AASHE,Poster,Heather Hackman,Founder and President,Hackman Consulting Group,5108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Closing Keynote - Heather Hackman A Deeper Solidarity: Sustainability Through a Social Justice Lens,"Heather Hackman is the founder of Hackman Consulting Group. She regularly consults on issues of deep diversity, equity and social justice with an emphasis on racism and whiteness; gender oppression; heterosexism and homophobia; classism; and climate justice. She has published and taught on topics such as social justice education theory and practice; heterosexism and homophobia in the US; sexism and gender liberation; and whiteness and climate change. Dr. Hackman is currently working on a book examining embodied racial justice and has published on the connections between racial issues and climate change. Prior to consulting, Dr. Hackman was an Associate Professor in the Department of Human Relations and Multicultural Education at St. Cloud State University. She has served on the boards of the National Association for Multicultural Education and is currently an Advisory Board member for the White Privilege Conference. She received her doctorate in Social Justice Education from the University of Massachusetts at Amherst in 2000.",Hackman Consulting Group,5108,,,,,,,,,,,,,Diversity & Affordability,,,,,"social justice,equity,inclusion",10/17/2017,AASHE,Presentation,Heather Hackman,Founder and President,Hackman Consulting Group,5108, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600_Hackman.pdf,,,
