Program Name,Description or Abstract,Organization1,Organization1id,Sustainability Topic1,Sustainability Topic2,Academic Discipline1,Academic Discipline2,Academic Discipline3,Tag1,Tag2,Tag3,Program Type,Learning Outcomes,Expected Completion Time,Website1label,Website1URL
Geographical Sciences (BS),"Students specializing in Geography will be exposed to a diversity of coursework that will focus on human-environmental interactions, and will choose between two tracks: Development and Sustainability or Environment Systems and Natural Resources.","University of Maryland, College Park",1712,Curriculum,,"Social Sciences (Economics, Geography, Political Science, etc)",Environmental Studies & Sciences,,geography,environmental science,,Baccalaureate degree,,,Geographical Sciences (BS),https://geog.umd.edu/undergraduate/geography
Global Poverty Minor,"Students will discover how incentives, resources, and social and political institutions influence the incidence of poverty across and within countries.  Students in the minor will explore the relationships between poverty and determinants of human welfare such as hunger, health, education and environmental quality. ","University of Maryland, College Park",1712,Curriculum,,"Social Sciences (Economics, Geography, Political Science, etc)",,,international focus,,,Minor,,,Global Poverty Minor,https://www.arec.umd.edu/undergraduate/minor
Agricultural and Resource Economics (BS),"Students in the Agricultural and Resource Economics program must take courses in Agricultural Science, Mathematics/Economics/Statistics, Environmental and Resource Policy, International Agriculture, Food Production, and Politics.","University of Maryland, College Park",1712,Curriculum,,Agriculture,"Social Sciences (Economics, Geography, Political Science, etc)",,sustainable agriculture,natural resources,,Baccalaureate degree,,,Agriculture and Resource Economics (BS),https://www.arec.umd.edu/undergraduate/current-students/major-requirements
Atmospheric and Oceanic Science (BS),Course plans for the major satisfy American Meteorological Society guidelines for a B.S. degree in atmospheric science.,"University of Maryland, College Park",1712,Curriculum,,"Physical & Earth Sciences (Chemistry, Geology, Atmospheric Sciences, etc)",,,atmospheric science,ocean studies,,Baccalaureate degree,,,Atmospheric and Oceanic Science (BS),https://aosc.umd.edu/education/undergrad-major
Landscape Architecture (BLA),"The Landscape Architecture Program helps landscape architects lead, educate, and participate in the careful stewardship, wise planning, and artful design of our built and natural environments. The undergraduate Landscape Architecture curriculum is a four-year professional program (BLA). UMD also offers a graduate program for those interested in pursuing their MLA.","University of Maryland, College Park",1712,Curriculum,,Architecture,,,landscape architecture,,,Baccalaureate degree,,,Landscape Architecture (BLA),https://larch.umd.edu/undergraduate/prospective-undergraduate-students
Plant Sciences (BS),"Plant Science combines basic science courses with applied technical classes to prepare students for the many and varied careers in this growing field.  Students seeking a Plant Science degree must complete requirements in one of the following areas of concentration: Plant Biology, Urban Forestry, Turf and Golf Course Management.","University of Maryland, College Park",1712,Curriculum,,Biological Sciences (includes Ecology),,,agronomy,plant sciences,,Baccalaureate degree,,,Plant Sciences (BS),https://psla.umd.edu/undergraduate/degrees/plant-sciences
Atmospheric Chemistry Minor,"This Minor will provide the students with a general background in Meteorology as offered by the lower level required courses, and a background on issues in Atmospheric Chemistry. It is intended for students who might pursue careers where background in Atmospheric Chemistry is needed, such as Air Pollution, Atmospheric Chemistry, and environmental issues. ","University of Maryland, College Park",1712,Curriculum,,"Physical & Earth Sciences (Chemistry, Geology, Atmospheric Sciences, etc)",,,atmospheric science,,,Minor,,,Atmospheric Chemistry Minor,https://aosc.umd.edu/education/minor
Atmospheric Science Minor,"This minor will provide a general background in meteorology as offered by the lower level courses, and a solid background in Atmospheric Physics (AOSC 431) and Atmospheric Dynamics (AOSC 432), as offered b two required courses. It is aimed at students that might consider graduate work in Meteorology, or prepare them for the very favorable job market in the Washington area, where a background in Meteorology can be an important asset.","University of Maryland, College Park",1712,Curriculum,,"Physical & Earth Sciences (Chemistry, Geology, Atmospheric Sciences, etc)",,,atmospheric science,,,Minor,,,Atmospheric Science Minor,https://aosc.umd.edu/education/minor
Earth History Minor,"The Earth History Minor involves required classes in historical geology and elective classes in sedimentation, paleontology, and climate change.","University of Maryland, College Park",1712,Curriculum,,"Physical & Earth Sciences (Chemistry, Geology, Atmospheric Sciences, etc)",,,geosciences,,,Minor,,,Earth History Minor,https://www.geol.umd.edu/undergraduate/Geology_Minors.php#earth_history
Earth Material Properties Minor,"The Earth Material Properties Minor involves required classes in geology and mineralogy and elective classes in seismology, petrology, and optical mineralogy.","University of Maryland, College Park",1712,Curriculum,,"Physical & Earth Sciences (Chemistry, Geology, Atmospheric Sciences, etc)",,,geosciences,,,Minor,,,Earth Material Properties Minor,https://www.geol.umd.edu/undergraduate/Geology_Minors.php#earth_history
Hydrology Minor,The Hydrology Minor involves core classes in geology and wetlands hydrology as well as elective classes in ecosystem restoration and biogeochemistry.,"University of Maryland, College Park",1712,Curriculum,,"Physical & Earth Sciences (Chemistry, Geology, Atmospheric Sciences, etc)",,,water sciences & studies,,,Minor,,,Hydrology Minor,https://www.geol.umd.edu/undergraduate/Geology_Minors.php#earth_history
International Agriculture and Natural Resources Certificate,"In this certificate program, students will relate their disciplinary knowledge and technical skills to global agriculture and natural resources issues, beclome familiar with a foreign language, study abroad, and learn the international aspects of the environment, agricultural production, nutrition, development, and business.","University of Maryland, College Park",1712,Curriculum,,International & Global Studies,Agriculture,,international focus,sustainable agriculture,natural resources,Undergraduate Certificate/Diploma,,,International Agriculture and Natural Resources Certificate,https://agnr.umd.edu/academics/programs-study/international-agriculture-and-natural-resources
Meteorology Minor,"This Minor will provide the students with a general background in Meteorology as offered by the lower level courses, and a broader background on a wide range of sub-fields in Meteorology and on current issues in Climate Research, as provided by the two required courses. It is aimed at students who wish to be informed about this field, who do not have an a priori interest to pursue graduate work in this field, but who might pursue careers where background in Meteorology is important, such as environmental policy, government, and industry.","University of Maryland, College Park",1712,Curriculum,,"Physical & Earth Sciences (Chemistry, Geology, Atmospheric Sciences, etc)",,,meteorology,,,Minor,,,Meteorology Minor,https://aosc.umd.edu/education/minor
Soil Science Minor,"The Soil Science minor will provide students with a sophisticated understanding of soil resources, its development, characteristics, and principles for its use and management.  Building on a basic introduction to the broad field of soil science, the program is completed by adding four or five upper division soils courses balanced between underlying principles and field applications.","University of Maryland, College Park",1712,Curriculum,,Biological Sciences (includes Ecology),,,crop & soil sciences,,,Minor,,,Soil Science Minor,https://enst.umd.edu/undergraduate/majors-minors
Atmospheric and Ocean Studies (MS/PhD),"The Atmospheric and Ocean Studies graduate program is a joint MS and PhD. UMD's research park includes NOAA's Center for Weather and Climate Prediction, the Joint Global Change Research Institute, and UMD's Earth System Science Interdisciplinary Center. The Department is particularly strong in Atmospheric Chemistry, Numerical Weather Prediction, Data Assimilation, Climate, Physical Oceanography, Remote Sensing, and Dynamics with Predictability.","University of Maryland, College Park",1712,Curriculum,,"Physical & Earth Sciences (Chemistry, Geology, Atmospheric Sciences, etc)",,,atmospheric science,ocean studies,,Doctoral Degree,,,Atmospheric and Ocean Studies (MS/PHD),https://aosc.umd.edu/education/ms-phd
Civil and Environmental Engineering (MS),"The Department of Civil and Environmental Engineering offers interdisciplinary graduate programs led by expert faculty with connections to leading companies, utilities, and agencies in the greater D.C. area and beyond. The Master of Science degree is awarded after the completion of 30 credit hours with a minimum GPA of 3.0. Students are also required to obtain a B- or better in all technical core courses. Specific requirements may vary depending on whether a student pursues the thesis or non-thesis option, but a final comprehensive exam is required for all students.","University of Maryland, College Park",1712,Curriculum,,Engineering,,,environmental engineering,,,Master's Degree,,,Civil and Environmental Engineering (MS),https://cee.umd.edu/graduate/degrees
Civil and Environmental Engineering (PhD),"The Department of Civil and Environmental Engineering offers interdisciplinary graduate programs led by expert faculty with connections to leading companies, utilities, and agencies in the greater D.C. area and beyond. A minimum of 36 credit hours of coursework beyond the bachelor's is required for the Doctor of Philosophy in civil engineering. At least 12 of these credits must be completed at the University of Maryland. A minimum of 12 semester hours of dissertation research is also required. Students must maintain a minimum 3.5 GPA in CEE courses and an overall grade point average of 3.0 from outside the department.  ","University of Maryland, College Park",1712,Curriculum,,Engineering,,,environmental engineering,,,Doctoral Degree,,,Civil and Environmental Engineering (PhD),https://cee.umd.edu/graduate/degrees
Environmental Science and Technology (MS),"The Environmental Science and Technology Masters program involves require classes in statistics, ecology, soils, and hydrology.","University of Maryland, College Park",1712,Curriculum,,Environmental Studies & Sciences,Technology & Trades,,environmental science,,,Master's Degree,,,Environmental Science and Technology (MS),https://enst.seed.umd.edu/graduate/masters-program
Environmental Science and Technology (PhD),"The Environmental Science and Technology Doctoral degree has 4 areas of concentration to choose from: Soil and Watershed Sciences, Ecological Technology Design, Wetland Science, and Ecosystem Health and Natural Resources Management. The program requires the completion of research and graduate level courses in the areas of specialization.","University of Maryland, College Park",1712,Curriculum,,Environmental Studies & Sciences,Technology & Trades,,environmental science,,,Doctoral Degree,,,Environmental Science and Technology (PhD),https://spp.umd.edu/your-education/masters
Organic and Sustainable Agriculture Graduate Certificate,"The GC-OSA focuses on sustainability through examining both the ecosystem services provided by beneficial insects, as well as the management of injurious insects. Ecological functions of insects in the natural and anthropogenic landscape is illustrated and discussed, including the development of a list of sustainable practices for conserving and managing insects in the landscape. Student learn about pest management options that do not require the use of synthetic chemical pesticides and focuses on organic alternative.","University of Maryland, College Park",1712,Curriculum,,Agriculture,,,sustainable agriculture,,,Graduate Certificate/Diploma,,,Organic and Sustainable Agriculture Graduate Certificate,https://spp.umd.edu/your-education/masters
Atmospheric and Ocean Science Technology (MPS),"The Master of Professional Studies (MPS) in Atmospheric and Oceanic Science Technology is designed for meteorologists, oceanographers and environmental scientists who need cutting-edge skills and knowledge in atmospheric and oceanic science, in the computational methods used in the field, and in air quality science.","University of Maryland, College Park",1712,Curriculum,,"Physical & Earth Sciences (Chemistry, Geology, Atmospheric Sciences, etc)",,,atmospheric science,ocean studies,,Master's Degree,,,Atmospheric and Ocean Science Technology (MPS),https://aosc.umd.edu/education/professional-masters/overview
Environmental Studies (BA),"With three track options (Geography, Political Science or Economics) the Environmental Studies Major will prepare students to contribute to numerous environmental fields.",Calvin University,1624,Curriculum,,Environmental Studies & Sciences,,,environmental studies,,,Baccalaureate degree,,,Environmental Studies (BA),https://calvin.edu/academics/departments-programs/geo/academics/environmental-studies-major
Civil & Environmental Engineering (BS),Students will get hands-on experience solving problems like creating clean water systems and designing energy-saving machines which will also connect students to internships and opportunities all over the country and world.,Calvin University,1624,Curriculum,,Engineering,,,environmental engineering,,,Baccalaureate degree,,,Civil & Environmental Engineering (BS),https://calvin.edu/academics/departments-programs/engineering/academics/civil-environmental-engineering
Program for Sustainability Engineering (Concentration),"The Program for Sustainability Engineering (PSE) educates students and the community to understand and demonstrate commitments to sustainable approaches and addressing important problems of our contemporary world. The PSE oversees the sustainability designation to the bachelor of science in engineering (BSE) degree. The Sustainability concentration aims to promote the well-being of other people, other species, and the ability of future generations of all creatures to flourish. The program is committed to rising to the challenge of leading lives of increased meaning and purpose, promoting healing and reconciliation within creation.",Calvin University,1624,Curriculum,,Engineering,Sustainability Studies & Science,,sustainability studies,environmental engineering,,Specialization/Concentration/Emphasis,,,Program for Sustainability Engineering (Concentration),https://calvin.edu/academics/departments-programs/engineering/academics/program-for-sustainability-(pse)/?dotcmsredir=1
Environmental and Sustainability Studies (BA),"The major and minor in environmental and sustainability studies at Western Michigan University fosters environmental awareness and scientific literacy as well as offers careful interdisciplinary training of majors and minors to understand environmental complexity and health, enabling them to be creative and able problem solvers.",Western Michigan University,1817,Curriculum,,Environmental Studies & Sciences,Sustainability Studies & Science,,environmental studies,sustainability studies,,Baccalaureate degree,,,Environmental and Sustainability Studies (BA),https://wmich.edu/environment/academics/environment
Freshwater Science and Sustainability (BS),"The institutions developed an interdisciplinary curriculum that allows students to earn a Bachelor of Science in freshwater science and sustainability. Students wishing to conduct all of their freshwater science and sustainability studies in Traverse City may enroll at NMC and earn an associate degree, then seamlessly transfer to WMU-Traverse City and complete the final two years of coursework required for the bachelor's degree. Students also may enroll in the bachelor's-only version of the program offered on WMU's main campus in Kalamazoo.",Western Michigan University,1817,Curriculum,,Biological Sciences (includes Ecology),,,sustainability studies,geosciences,,Baccalaureate degree,,,Freshwater Science and Sustainability (BS),https://wmich.edu/environment/academics/freshwater
Climate Change Studies Minor,"The climate change studies minor at Western Michigan University is an interdisciplinary and integrative program involving expert faculty and courses from intersecting disciplines. This minor provides students with the necessary science-based background and a broad understanding of the human relationship to climate change, including the social and environmental causes, challenges, and opportunities for mitigation and adaptation.",Western Michigan University,1817,Curriculum,,Environmental Studies & Sciences,,,climate science,,,Minor,,,Climate Change Studies Minor,https://wmich.edu/arts-sciences/climate
Learning for Sustainability Graduate Certificate,"The Certificate Program in Learning for Sustainability (LfS) is designed to develop competencies needed to wrestle with complex real-world problems and sustainability challenges. Students will be engaged in learning how to explore the complexity of human cares and situate that inquiry in the context of factors impacting quality of life and the state of the planet. Participants will develop new skills in systems thinking and modeling; understanding and evaluating the ecological and social impacts of transport, housing, energy, food, water, forestry, healthcare, financial, and manufacturing systems; critical and anticipatory thinking; mindfulness; awareness of place; empathy; problem posing and problem solving; planning and decision-making; designing and evaluating interventions to enhance well-being (products, policies, social innovations, enterprises, etc.); transformative change; collaboration; and social learning.",Western Michigan University,1817,Curriculum,,Sustainability Studies & Science,,,sustainability studies,,,Graduate Certificate/Diploma,,,Learning for Sustainability Graduate Certificate,http://catalog.wmich.edu/preview_program.php?catoid=27&poid=7970&returnto=1136
Environmental Studies Minor,"The concentration is an opportunity for students to develop a particular interest from the broad spectrum of environmental studies courses offered at Bowdoin. Each concentration consists of three ES courses (or three ES-approved courses) that are linked by a cohesive theme. An example of such a theme might be ecology, food systems, or energy. Students meet with their ES advisor to discuss possible themes and submit a major planning form to the ES Program",Bowdoin College,2270,Curriculum,,Environmental Studies & Sciences,,,environmental studies,,,Minor,,,Environmental Studies Minor,https://www.bowdoin.edu/environmental-studies/requirements/index.html
Environmental Science (BS),"Duquesne's Center for Environmental Research and Education offers a Bachelor of Science in Environmental Science that gives students a strong foundation in the natural sciences and mathematics, as well as provides them with a broad background in environmental issues. Courses emphasize the integration of science, policy, and theory as well as connections to the local community and private sector.",Duquesne University,1374,Curriculum,,Environmental Studies & Sciences,,,environmental science,,,Baccalaureate degree,,,Environmental Science (BS),https://www.duq.edu/academics/schools/natural-and-environmental-sciences/academics/departments-and-programs/environmental-science-and-management
Environmental Chemistry (BA/BS),"In the Environmental Chemistry major program, students must complete the Undergraduate Curriculum, consisting of 28 credits in the University Core Curriculum, 13 credits in the Bayer School of Natural and Environmental Sciences (BSNES) Core Curriculum, and 80-83 credits in the Track Specific Chemistry Core Curriculum.",Duquesne University,1374,Curriculum,,"Physical & Earth Sciences (Chemistry, Geology, Atmospheric Sciences, etc)",,,chemistry,,,Baccalaureate degree,,,Environmental Chemistry (BA/BS),https://www.duq.edu/academics/schools/natural-and-environmental-sciences/academics/departments-and-programs/chemistry-and-biochemistry/undergraduate-programs/undergraduate-curriculum
Land-Based Indigenous Education (MED),This Master of Education course-based graduate program of study offers courses with a land-based focus.  This focus includes intensive land-based field institutes where students take graduate level courses framed within an Indigenous paradigm and taught primarily by Indigenous faculty.,University of Saskatchewan,7859,Curriculum,,Education,,,environmental education,indigenous focus,,Graduate Certificate/Diploma,,,Land-Based Indigenous Education (MED),https://www.coloradocollege.edu/academics/dept/environmentalprogram/
Geography (BA),"The Geography Department empowers students to address a number of contemporary problems such as physical resource development, racial/ethnic patterns, urban decay, business geography and pollution. The curriculum help students better understand how natural and human environments become organized geographically by institutional decisions and the consequences of human actions.",Binghamton University,4320,Curriculum,,"Social Sciences (Economics, Geography, Political Science, etc)",,,geography,,,Baccalaureate degree,,,Geography (BA),https://www.binghamton.edu/apps/academics/program/ug/geography
Geography (MA),"The Department of Geography at Binghamton University offers a Master of Arts (MA) in geography. Students can pursue one of five tracks: General geography, Cartography and geographical information systems (GIS), Environmental and resource management, Urban planning and applied geography, and Race and ethnicity.",Binghamton University,4320,Curriculum,,"Social Sciences (Economics, Geography, Political Science, etc)",,,geography,,,Master's Degree,,,Geography (MA),https://www.binghamton.edu/apps/academics/program/gd/geography
Urban Studies (MUS),"Students in the Master of Urban Studies program delve into such things as problems associated with growing social and economic inequalities between different places and population groups within the metropolitan region; environmental problems related to the prevailing pattern of urbanization; the lack of effective institutions of regional governance; and challenges such as unemployment, affordable housing and gentrification, environmental and food justice, and sustainable transportation.",Portland State University,2515,Curriculum,,"Urban, Community & Regional Planning",,,urban focus,,,Master's Degree,,,Urban Studies (MUS),https://www.pdx.edu/usp/degrees/ma-degrees/mus
Graduate Certificate in Energy Policy and Management,The Graduate Certificate in Energy Policy and Management brings graduate courses focusing on energy issues and techniques for energy analysis together in a program designed to create a foundation of knowledge about the energy industry. The program allows flexible graduate coursework combinations so that students can customize their studies to match their goals and interests.,Portland State University,2515,Curriculum,,"Business, Management, & Finance",,,energy policy,,,Graduate Certificate/Diploma,,,Graduate Certificate in Energy Policy and Management,https://www.pdx.edu/energy-certificate/
Environmental Science (BS),"In the Environmental Science program, students learn about the complex systems of the planet, the relationship between man and nature, and how to design systems that minimize human interference and restore nature's sustainable ecosystems. Students can choose to pursue a track of ecology or sustainability under this degree. Course requirements include biology, ecology, chemistry, calculus in addition to a senior thesis. Students who opt into the Ecology track will take additional courses in genetics, microbiology and field biology. Those who choose the Sustainability track will take additional courses in Geographic Information Systems (GIS), microbiology, zoology, observational biology, limnology, and botany.",Lewis University,4227,Curriculum,,Environmental Studies & Sciences,,,environmental science,,,Baccalaureate degree,,,Environmental Science (BS),http://lewisu.smartcatalogiq.com/en/Undergrad-2019-2020/Undergraduate-Catalog/College-of-Aviation-Science-and-Technology/Environmental-Science/Environmental-Science-Bachelor-of-Science
Environmental Studies (AA),The Environmental Studies major will provide students with an understanding of the manner in which various disciplines study the environment and approach our most pressing environmental issues.,Santa Rosa Junior College,5457,Curriculum,,Environmental Studies & Sciences,,,environmental studies,,,Associate (2-year) degree,,,Environmental Studies (AA),https://portal.santarosa.edu/srweb/SR_ProgramOfStudy.aspx?MajorCertID=1842
Wastewater Treatment Operations (AS),The Wastewater Treatment Operations degree provides instructional training necessary for entry level positions in the operation of wastewater treatment facilities and wastewater collection systems as well as assistance in developing the knowledge to pass the required examinations administered by the California Department of Health Services.,Santa Rosa Junior College,5457,Curriculum,,Technology & Trades,,,,,,Associate (2-year) degree,,,Wastewater Treatment Operations (AS),https://portal.santarosa.edu/srweb/SR_ProgramOfStudy.aspx?MCID=1824&ProgramType=5&Program=002060&Version=4&MajorType=2
Natural Resources (AS),"The Natural Resources major is a transfer-oriented program. Students conduct introductory coursework in Forestry, Watershed Management and Parks and Recreation that prepares them to successfully complete a Bachelor’s degree in these or related fields at 4-year college or university. The major also provides career-oriented training necessary for technician-level positions in natural resource conservation and the outdoor recreation industry with government agencies and the private sector. The program consists of 20 units of core requirements and 6 units of elective courses that allow the student to specialize or focus on a particular area of Natural Resources.",Santa Rosa Junior College,5457,Curriculum,,"Recreation, Leisure, & Tourism",,,natural resources,,,Associate (2-year) degree,,,Natural Resources (AS),https://portal.santarosa.edu/srweb/SR_ProgramOfStudy.aspx?MajorCertID=1904
Environmental Horticulture: Nursery Management (AS),"The Environmental Horticulture: Nursery Management major prepares students to advance to management positions in nurseries that propagate, grow and market plants for use in the home, business or the landscape. The program provides a solid foundation in plant knowledge and nursery and garden center environments, as well as computer applications and management skills. These skills and knowledge equip students to embark on a successful and rewarding career in the nursery industry.",Santa Rosa Junior College,5457,Curriculum,,Agriculture,,,horticulture,,,Associate (2-year) degree,,,Environmental Horticulture: Nursery Management (AS),https://portal.santarosa.edu/srweb/SR_ProgramOfStudy.aspx?MajorCertID=1892
Environmental Horticulture: Landscape Design (AS),"The Environmental Horticulture: Garden Design major prepares students for occupations within the landscape industry that require garden design skills. The program emphasizes hands-on learning, and most courses incorporate lab activities that apply knowledge and skills in realistic settings.",Santa Rosa Junior College,5457,Curriculum,,Agriculture,,,horticulture,,,Associate (2-year) degree,,,Environmental Horticulture: Landscape Design (AS),https://portal.santarosa.edu/srweb/SR_ProgramOfStudy.aspx?MajorCertID=1888
Agriculture Plant Science (AS),"The Associate in Science for Transfer in Agriculture Plant Science will provide current and relevant knowledge, skills and abilities through education and hands-on training in Agricultural Science, Animal Science and Agriculture Studies.",Santa Rosa Junior College,5457,Curriculum,,Agriculture,Biological Sciences (includes Ecology),,agronomy,plant sciences,,Associate (2-year) degree,,,Agriculture Plant Science (AS),https://portal.santarosa.edu/srweb/SR_ProgramOfStudy.aspx?ProgramType=2&Program=002071
Agriculture Business (AS),"The Associate in Science for Transfer in Agriculture Business will provide current and relevant knowledge, skills and abilities through education and hands-on training in Agriculture Business, Agriculture Studies, AgriBusiness, Ag Business and Food Industry Management.",Santa Rosa Junior College,5457,Curriculum,,Agriculture,"Business, Management, & Finance",,sustainable business,,,Associate (2-year) degree,,,Agriculture Business (AS),https://portal.santarosa.edu/srweb/SR_ProgramOfStudy.aspx?ProgramType=2&Program=002069
Environmental Horticulture: Landscape Construction and Maintenance (AS),"The Environmental Horticulture: Landscape Construction and Maintenance major deals with all aspects of plant use in the landscape. People working in the landscape field derive job satisfaction from enhancing the function and beauty of the environment while being physically active outdoors or helping support that activity in allied sales and service occupations. Landscape work involves construction and planting projects, irrigation system design and water management, and specialty fields such as turf management, tree care, and interiorscapes. This program provides an introductory base of plant knowledge and landscape skills, allowing students the option of entering a variety of jobs with the preparation for rapid advancement within their chosen occupations. The program emphasizes hands-on learning and most courses incorporate lab activities that apply knowledge and skills in realistic settings. The program is actively supported by the local horticulture industry.",Santa Rosa Junior College,5457,Curriculum,,Agriculture,,,horticulture,,,Associate (2-year) degree,,,Environmental Horticulture: Landscape Construction and Maintenance (AS),https://portal.santarosa.edu/srweb/SR_ProgramOfStudy.aspx?MajorCertID=1890
Biosystems Engineering (BS),"The Biosystems Engineering major aims to train students apply quantitative skills to create products, processes, and systems that improve human existence. Working at the interface of engineering and biology, biosystems engineers are engaged in the most important challenges of our time. Biosystems engineers may, for example, design pathogen control processes to protect the safety of our food supply, constructed wetlands to improve water quality and quantity, biomass conversion processes to sustainably supply renewable energy and products, and/or diagnostic and risk modeling systems to protect and enhance human and animal health.",Michigan State University,0439,Curriculum,,Engineering,,,environmental engineering,,,Baccalaureate degree,,,Biosystems Engineering (BS),https://reg.msu.edu/AcademicPrograms/ProgramDetail.aspx?Program=2445
Chemical Engineering and Materials Science (BS),"The undergraduate program in chemical engineering at Michigan State University has a strong focus on the integration of engineering science and process design with complementary areas of study in bioprocess engineering, biomedical engineering, environmental engineering, fuels and energy, materials, and food engineering. Graduates are prepared for life-long opportunities to participate in diverse sectors of the economy and to assume leadership roles throughout their professional careers.",Michigan State University,0439,Curriculum,,Engineering,,,environmental engineering,,,Baccalaureate degree,,,Chemical Engineering and Materials Science (BS),https://www.chems.msu.edu/academics/undergraduate/che/objectives-outcomes
Crop and Soil Sciences (BS),"The Crop and Soil Sciences major is designed to train professional crop scientists, soil scientists, turfgrass scientists and environmentalists. It prepares them to apply scientific principles of crop and soil management for careers in agriculture, agribusiness, turfgrass management, government agencies and related areas. The Crop and Soil Sciences studies and research areas include crop physiology and management, environmental soil sciences, microbial ecology, plant pathology, plant breeding and genetics, production ecology, soil fertility and management, turfgrass science and weed science.",Michigan State University,0439,Curriculum,,Biological Sciences (includes Ecology),,,crop & soil sciences,,,Baccalaureate degree,,,Crop and Soil Sciences (BS),https://www.canr.msu.edu/psm/degree_cerficate_programs/undergraduate_programs/
Environmental Geography (BS),"The Bachelor of Science Degree in Environmental Geography provides comprehensive academic training in the environment and how its many aspects interrelate across the landscape.  Environmental geographers describe, analyze, and explain the arrangement of the Earth’s physical features including atmospheric, terrestrial, and marine components and how they work together.  Emphasis is placed on how mankind is influenced by these forces and how humans may be altering the natural environment.",Michigan State University,0439,Curriculum,,"Social Sciences (Economics, Geography, Political Science, etc)",Environmental Studies & Sciences,,geography,,,Baccalaureate degree,,,Environmental Geography (BS),http://geo.msu.edu/undergraduate-information/undergraduate-degrees-2/
Geographic Information Science (BS),"The Bachelor of Science Degree in Geographic Information Science provides a rigorous, in-depth program for students interested in the application of information technology to the spatial dimensions of Earth’s human and physical systems. It is ideal for those pursuing a career in the rapidly growing spatial technology sector, or for those considering graduate study in Geography and related disciplines. Students attain substantial general quantitative and technical skills, as well as practical experience applying them to important problems in settings ranging from local to global.",Michigan State University,0439,Curriculum,,Technology & Trades,,,GIS,,,Baccalaureate degree,,,Geographic Information Science (BS),http://geo.msu.edu/undergraduate-information/undergraduate-degrees-2/
Agronomic Sciences (BS),"This concentration develops agronomists. These scientists have career opportunities with chemical, seed, and fertilizer companies; as consultants; with governmental agencies such as the departments of agriculture and/or natural resources, as pest management specialists and managers or grower organizations; in agencies involving environmental issues; and international agriculture.",Michigan State University,0439,Curriculum,,Biological Sciences (includes Ecology),,,agronomy,plant sciences,,Baccalaureate degree,,,Agronomic Sciences (BS),https://www.canr.msu.edu/psm/degree_cerficate_programs/undergraduate_programs/agronomic_sciences
Geography Minor,The Minor in Geography provides a fundamental foundation to the breadth of study within the field of geography as well as grounding in general geographic theory.  The minor is available as an elective to students who are enrolled in bachelor’s degree programs at Michigan State University other than the Bachelor of Arts or Bachelor of Science Degrees in Geography.,Michigan State University,0439,Curriculum,,"Social Sciences (Economics, Geography, Political Science, etc)",,,geography,,,Minor,,,Geography Minor,http://geo.msu.edu/undergraduate-information/undergraduate-degrees-2/
Geographic Information Science Minor,"The Geography Minor in Geographic Information Science provides a program for students interested in the application of information technology to the spatial dimensions of Earth’s human and physical systems. It is ideal for those pursuing a career in the rapidly growing spatial technology sector.  Students attain technical skills, as well as practical experience applying them to important problems in settings ranging from local to global.",Michigan State University,0439,Curriculum,,Technology & Trades,,,GIS,,,Minor,,,Geographic Information Science Minor,http://geo.msu.edu/undergraduate-information/undergraduate-degrees-2/
Forestry (BS),"The undergraduate forestry program integrates ecology, biology, economics and social science to help students find solutions to some of the world’s most pressing challenges in areas of climate change, conservation and sustainable energy. Through hands-on experiences and field studies, students learn how to manage forests for a wide range of goals and acquire the skills and preparation to be leaders and stewards in sustainable forest management. ",Michigan State University,0439,Curriculum,,Biological Sciences (includes Ecology),,,forestry,,,Baccalaureate degree,,,Forestry (BS),https://www.canr.msu.edu/for/undergraduate/
"Science, Technology, Environment and Public Policy Minor","Students who pursue the STEPPS minor are interested in how science and politics relate to one another. It is designed for both science and non-science majors, and allows students to personalize their classes to allow them to pursue specific science policy topics that interest them. STEPPS is a unique cross-collegiate program that brings together James Madison College, Lyman Briggs College, and the Department of Fisheries and Wildlife. Drawing on the energies of these three programs, STEPPS will train students in public policy that relates to science, technological change, and environmental science to promote change, become leaders and formulate effective public policy.",Michigan State University,0439,Curriculum,,Environmental Studies & Sciences,Public Administration & Policy,,,,,Minor,,,"Science, Technology, Environment and Public Policy Minor",https://jmc.msu.edu/minor/stepp//
Fisheries and Wildlife (BS),"The Fisheries and Wildlife undergraduate program provides a strong base in the foundational and applied sciences of natural resource management. The program is designed to develop understanding of the cultural, recreational and economic values of biological resources.",Michigan State University,0439,Curriculum,,Biological Sciences (includes Ecology),,,wildlife,fisheries,,Baccalaureate degree,,,Fisheries and Wildlife (BS),https://www.canr.msu.edu/fw/undergraduate/
Sustainable Tourism and Protected Area Management (MS),"The STPAM graduate program is designed for students interested in issues of sustainable tourism and/or protected area management in either a domestic or international context. Students in this graduate program address complex and emerging tourism and protected area management issues, all under the umbrella of sustainability, from diverse perspectives at the enterprise, local, national, and international levels. ",Michigan State University,0439,Curriculum,,"Recreation, Leisure, & Tourism",,,ecotourism & sustainable tourism,conservation,,Master's Degree,,,Sustainable Tourism and Protected Area Management (MS),https://www.canr.msu.edu/csus/graduate/programs/stpam
