Program Name ,Description,Organization1,Organization1 ID,Organization2,Organization2 ID,Topic1,Topic2,Acad Discipline1,Acad Discipline2,Acad Discipline3,Tag1,Tag2,Tag3,Tag4,Year Founded (200x),Program Type,Learning Outcomes,Expected completion time,Approx # students completing program annually,Distance Ed.,Commitment,Link URL
Environmental Studies Minor,"The interdisciplinary minor in environmental studies at Ithaca College is administered by the School of Humanities and Sciences. The objectives of the minor are (a) to introduce students to the substance and complexity of environmental issues, and (b) to allow them both to explore environmental policy and learn to participate in responsible policy discussion at a range of levels. ",Ithaca College,3169,,,Curriculum,,Environmental Studies & Sciences,,,environmental studies,,,,,Minor,,,,,,http://catalog.ithaca.edu/undergrad/schools/school-humanities-sciences/department-environmental-studies-sciences/environmental-studies-minor/
Environmental Science Bachelor,"This major provides students with an interdisciplinary approach on how to apply research methods, assessment techniques and management strategies to resolve environmental problems. It provides students an opportunity to gain an understanding of how the physical, biological and social sciences interact with each other in this field of study. ",Northern Michigan University,3209,,,Curriculum,,Environmental Studies & Sciences,,,environmental science,,,,,Baccalaureate degree,,,,,,http://www.nmu.edu/bulletin/programs?processtype=self&action=ProgsByType&phase=phase5&elementid=7&subaction=1254169006
Environmental Studies & Sustainability (Bachelor),Provides an introduction to quantitative and qualitative methods of assessing and analyzing humankind’s impact upon the environment. ,Northern Michigan University,3209,,,Curriculum,,Environmental Studies & Sciences,Sustainability Studies & Science,,environmental studies,,,,,Baccalaureate degree,,,,,,http://www.nmu.edu/bulletin/programs?processtype=self&action=ProgsByType&phase=phase5&elementid=7&subaction=1254168782
Environmental Ethics Minor,"This minor provides students with scientific information and a sense of the social, political, and ethical issues involved in environmental decisions. This minor can help students prepare for careers in environmental law, environmental planning, and natural resource professions. ",Humboldt State University,3222,,,Curriculum,,Environmental Studies & Sciences,,,ethics,,,,,Minor,,,,,,http://pine.humboldt.edu/reg/catalog/documents/sections/Programs/envethics.pdf
Environmental Management & Protection (BS),"The Environmental Science and Management (ESM) major provides an educational environment that fosters and develops the capability to analyze, understand, manage and improve the relationships among people, ecosystems and natural resources; to promote an understanding of human/natural resource interactions and how those interactions can be managed to benefit people, while maintaining the character, functioning, and productivity of ecosystems; and to develop the ability to reason and use sound scientific judgment, and develop a commitment to honesty and integrity in applying scientific principles in the public debate regarding natural resource management. ",Humboldt State University,3222,,,Curriculum,,Environmental Studies & Sciences,,,,,,,,Baccalaureate degree,,,,,,http://www2.humboldt.edu/environment/programs/environmental-science-and-management
Environmental Systems (MS),"Environmental Systems is an interdisciplinary Masters of Science program that helps students better understand and shape the complex systems that underpin our society. The three focus area options for this program include Environmental Resources Engineering, Energy Technology & Policy and Geology. This program provides a solid scientific foundation for careers in scholarship or practice and opportunities to work on unique applications of systems thinking with peers and mentors. ",Humboldt State University,3222,,,Curriculum,,Environmental Studies & Sciences,,,systems thinking,,,,,Master's Degree,,,,,,http://www2.humboldt.edu/engineering/graduate
Environmental Science (BS),"The environmental science curriculum is interdisciplinary, drawing heavily from biology and chemistry. Students will take courses in entomology (the study of insects), herpetology (the study of reptiles and amphibians), ornithology (the study of birds), aquatic biology (the study of organisms in the ocean or other bodies of water), mycology (the study of fungi) and plant taxonomy. ",Messiah College,3480,,,Curriculum,,Environmental Studies & Sciences,,,environmental science,,,,,Baccalaureate degree,,,,,,http://www.messiah.edu/environmental-science-major-pennsylvania
Environmental & Urban Studies Bachelor,"Both biogeophysical systems and human societies (cultures, economies, political regimes) are nested complex systems involving numerous interactions. Environmental and Urban Studies (EUS) is a transdisciplinary program that examines the interdependence of human societies and the physical environment. The program strives to ensure that majors have a solid background in the physical sciences, the humanities, and economics and policy--and understand what sustainability means in the real world. We aim to enhance students' understanding of the complexities of environmental and urban issues and their awareness of interrelationships between built and ""natural"" environments. ",Bard College,3514,,,Curriculum,,Environmental Studies & Sciences,"Urban, Community & Regional Planning",,urban focus,environmental studies,,,,Baccalaureate degree,,,,,,http://eus.bard.edu/
Professional Certificate in Environmental Policy,"The Professional CertificaThe Professional Certificate in Environmental Policy is earned by completing twenty-four credits of coursework at Bard CEP,  either part-time (four semesters) or full-time (two semesters). The Certificate may be earned jointly with the Bard MBA in Sustainability or on a stand-alone basis for mid-career professionals seeking to pursue further education or a career opportunity. The Certificate program includes the opportunity to pursue Bard CEP's signature professional internship experience, earning up to six credits in a high-level placement that can be either paid or unpaid. ",Bard College,3514,,,Curriculum,,Environmental Studies & Sciences,Public Administration & Policy,,,,,,,Professional or Continuing Education Certificate/Diploma,,,,,,http://www.bard.edu/cep/program/certificate/
"Environmental Studies Concentration, Division of Continuing Studies","An area of concentration in Environmental Studies is concerned with chemical pollutants, environmental geology, local and regional planning, environmental biology, and monitoring of the environment with regard to conservation and safety issues. It also provides the necessary knowledge to pursue an advanced degree, if desired. Students with an area of concentration in Environmental Studies, depending on their particular coursework, may find careers in transportation, politics, education, law, research, waste management, utilities, marine biology, zoology, planning, ecology, law enforcement, park services, forestry, and government or non-profit administration. ",University of Nebraska at Omaha,3647,,,Curriculum,,Environmental Studies & Sciences,,,environmental studies,,,,,Specialization/Concentration/Emphasis,,,,,,http://www.unomaha.edu/college-of-public-affairs-and-community-service/division-of-continuing-studies/academics/areas-of-concentration/environmental-studies.php
Earth & Environmental Sciences (MA),"This program is designed for students who desire further training prior to initiation of a doctoral program at another university or for whom the master’s degree will be the terminal degree. Graduate students are offered a unique opportunity for accelerated and personal instruction in a small department setting, with strengths in Geology, Volcanology, Ocean Sciences, Planetary Science, and Environmental Science. ",Wesleyan University,3771,,,Curriculum,,Environmental Studies & Sciences,,,environmental science,,,,,Master's Degree,,,,,,http://www.wesleyan.edu/ees/graduate/index.html
Environmental Studies Certificate,"Environmental studies is a multidisciplinary, integrative study of a broad range of environmental issues. Environmental science (such as climatology or conservation biology) is one aspect. But environmental studies also brings together the spectrum of foci that are necessary to solve, evaluate, comprehend, and communicate environmental issues. ",Wesleyan University,3771,,,Curriculum,,Environmental Studies & Sciences,,,environmental studies,,,,,Undergraduate Certificate/Diploma,,,,,,http://www.wesleyan.edu/coe/academics/certificate.html
Environmental Studies Major,"The Environmental Studies program offers numerous opportunities for rigorous interdisciplinary work, addressing the scientific, engineering, social, political, economic, literary, and philosophical dimensions of environmental topics. The minor helps guide students to the many academic fields that afford a perspective on environmental problems and enables them to explore questions most compelling to them from the vantage point of various disciplines. ",Swarthmore College,3879,,,Curriculum,,Environmental Studies & Sciences,,,environmental studies,,,,,Baccalaureate degree,,,,,,http://www.swarthmore.edu/environmental-studies
Environmental Studies Minor,"The Environmental Studies program offers numerous opportunities for rigorous interdisciplinary work, addressing the scientific, engineering, social, political, economic, literary, and philosophical dimensions of environmental topics. The minor helps guide students to the many academic fields that afford a perspective on environmental problems and enables them to explore questions most compelling to them from the vantage point of various disciplines. ",Swarthmore College,3879,,,Curriculum,,Environmental Studies & Sciences,,,environmental studies,,,,,Minor,,,,,,http://www.swarthmore.edu/environmental-studies
Environmental Sciences (BA/BS),"The Department of Environmental Sciences' interdisciplinary and integrative curriculum is designed to equip students with key skills and knowledge to understand and confront complex environmental issues. The curriculum is rooted in the basic disciplines of ecology and conservation, earth science, and social science and policy. Field and integrative courses compel students to synthesize concepts, methods and practice from these essential disciplines. Undergraduate research opportunities and internships are emphasized. The department offers a BA, BS, three minor options, a concentration in Environment and Sustainability Management with the Goizueta Business School, and two 4+1 programs: one BS/MPH with Rollins and a BS/MS program housed within the department.",Emory University,3931,,,Curriculum,,Environmental Studies & Sciences,,,environmental science,,,,,Baccalaureate degree,,,,,,http://www.envs.emory.edu/home/
Environmental Studies (Bachelor),"The Department of Earth & Environmental Sciences takes a broad view of the Earth and offers courses that develop a scientific understanding of our planet, its history, natural systems, resources, and recent global change. Our students explore the origin of the Earth and solar system, the formation of continents and oceans, the evolution and extinction of life, the distribution and availability of natural resources, and the impact of humans on the environment. ",University of the Pacific,3948,,,Curriculum,,Environmental Studies & Sciences,,,environmental studies,,,,,Baccalaureate degree,,,,,,http://www.pacific.edu/Academics/Schools-and-Colleges/College-of-the-Pacific/Academics/Departments-and-Programs/Earth-and-Environmental-Sciences.html
Applied Conservation Science Graduate Certificate,"This graduate certificate provides students with hands-on education in conservation science. The courses in this program are all residential, full-day, one- or two-week intensive courses held at the Smithsonian Mason School of Conservation in Front Royal, Virginia. This certificate is designed for early to mid-career conservation professionals working in government, non-governmental organizations, and research institutions worldwide. Upon completion of the certificate, students will have developed practical and analytical skills applicable to a wide range of programs in applied conservation science research, policy, and practice – from single-species protection and landscape-level restoration and management to community conservation initiatives and human-wildlife conflict mitigation. ",George Mason University,3981,,,Curriculum,,Environmental Studies & Sciences,,,conservation,,,,,Graduate Certificate/Diploma,,,,,,http://globalaffairs.gmu.edu/programs/la-cerg-acns
Environmental Science (MS),"Students in this program engage in hands-on learning activities through research and various other field experiences across all areas of Environmental Science. The program provides students with a foundation in the ecological, socioeconomic, and policy factors that are critical to environmental practice, development, and implementation. The rigorous coursework required for this degree gives students the opportunity to explore their personal environmental interest. In the Master of Science in the Environmental Science degree program, we place emphasis on the following areas; surface water, ground water, and natural resource management. ",Tarleton State University,3992,,,Curriculum,,Environmental Studies & Sciences,,,environmental science,,,,,Master's Degree,,,,,,http://www.tarleton.edu/degrees/masters/ms-environmental-science/
Environmental Studies (Bachelor),the campus-wide Environmental Program was established to meet the need for greater understanding of the ecological and cultural systems supporting all life on earth. Environmental studies (ENVS) students and faculty at UVM form a vibrant and creative culture. We encourage community engagement through internships and service learning and we actively support student advocacy and political awareness. ,University of Vermont,3995,,,Curriculum,,Environmental Studies & Sciences,,,environmental studies,,,,,Baccalaureate degree,,,,,,http://www.uvm.edu/envprog/welcome-environmental-program
Environmental Studies Bachelor,"Students in the major share a common sequence of core courses, beginning with introductions to environmental science and policy through an intermediate level practicum and culminating with the senior capstone. Throughout the curriculum, majors are exposed to different perspectives on and tools for understanding the environment including those from the natural sciences, social sciences and the humanities. In addition, all students are required to take advanced courses in one department to provide disciplinary depth. The field experience requirement ensures that students get out of the classroom to put their academic work into practice. The Senior Seminar (ENST 650) is the culmination of the environmental studies major and serves as the program's capstone.",Lawrence University,4031,,,Curriculum,,Environmental Studies & Sciences,,,environmental studies,,,,,Baccalaureate degree,,,,,,http://www.lawrence.edu/academics/study/environmental_studies
Environmental Studies Minor,The students take all of the core curricular courses of the ENST major except for the capstone. In addition they must take 5 cross-listed environmental studies courses in consultation with their academic advisor.,Lawrence University,4031,,,Curriculum,,Environmental Studies & Sciences,,,environmental studies,,,,,Minor,,,,,,http://www.lawrence.edu/academics/study/environmental_studies/majmin
Marine Resource Management Master's,"Marine Resource Management (MRM) is a science-based, interdisciplinary master's program based in the College of Earth, Ocean, and Atmospheric Sciences (CEOAS). The program provides students with the multidisciplinary training necessary to bridge the gap between sciences and policy and function confidently and effectively in professional resource management positions. ",Oregon State University,4044,,,Curriculum,,Environmental Studies & Sciences,,,marine systems,natural resources,,,,Master's Degree,,,,,,http://ceoas.oregonstate.edu/mrm/
Natural Resources (BS),"The Natural Resources (NR) Bachelor of Science degree program provides students with a detailed working knowledge of natural resources, their diversity and interdependence, and the critical relationships between humans and their environment. The program of study is interdisciplinary in nature, encompassing a broad spectrum of coursework, while mixing natural resources disciplines from colleges across campus, to include the Colleges of Agricultural Science, Forestry, Liberal Arts, and Science. Because of its flexibility, this program provides students the opportunity to combine areas of particular personal and/or professional interest, maximizing exposure to key natural resources issues and challenges. ",Oregon State University,4044,,,Curriculum,,Environmental Studies & Sciences,,,natural resources,,,,,Baccalaureate degree,,,,,,http://nr.forestry.oregonstate.edu/
Environmental Studies Bachelor,"Colgate's environmental studies minor is designed to enhance awareness of the complexity of regional and global environmental issues and to underscore the consequences and impacts of the human experience on the environment. Students in the program learn to think, speak, and write clearly and articulately about environmental issues from a variety of perspectives. ",Colgate University,4155,,,Curriculum,,Environmental Studies & Sciences,,,environmental studies,,,,,Baccalaureate degree,,,,,,http://www.colgate.edu/academics/departments-and-programs/environmental-studies
Environmental Studies Minor,"Colgate's environmental studies minor is designed to enhance awareness of the complexity of regional and global environmental issues and to underscore the consequences and impacts of the human experience on the environment. Students in the program learn to think, speak, and write clearly and articulately about environmental issues from a variety of perspectives. ",Colgate University,4155,,,Curriculum,,Environmental Studies & Sciences,,,environmental studies,,,,,Minor,,,,,,http://www.colgate.edu/academics/departments-and-programs/environmental-studies
Environmental & Renewable Resource Economics Minor,This minor introduces students to how fundamental economic principles can be used to explain and seek solutions for problems related to the degradation of the environment and unsustainable use of natural resources. ,Pennsylvania State University,4190,,,Curriculum,Energy,Environmental Studies & Sciences,"Business, Management, & Finance",,renewable energy,economics,,,,Minor,,,,,,http://bulletins.psu.edu/undergrad/programs/minors/E/E%20RREMIN
Human Dimensions of Natural Resources & the Environment (dual title MA/MS),"This interdisciplinary dual-title intercollege graduate degree program exposes students to a broad base of state-of-the-art methodologies, theories, and technologies for addressing contemporary resource and societal issues, including, but not limited to: global climate change; sustainable energy, food, and fiber supplies; threats to biodiversity; water pollution and availability; genetic modification; and sustainable design. Participating majors include Anthropology, Energy and Mineral Engineering, Forest Resources, Geography, Recreation, Park and Tourism Management, and Rural Sociology. ",Pennsylvania State University,4190,,,Curriculum,,Environmental Studies & Sciences,,,,,,,,Master's Degree,,,,,,http://agsci.psu.edu/hdnre
Human Dimensions of Natural Resources & the Environment (dual title PhD),"This interdisciplinary dual-title intercollege graduate degree program exposes students to a broad base of state-of-the-art methodologies, theories, and technologies for addressing contemporary resource and societal issues, including, but not limited to: global climate change; sustainable energy, food, and fiber supplies; threats to biodiversity; water pollution and availability; genetic modification; and sustainable design. Participating majors include Anthropology, Energy and Mineral Engineering, Forest Resources, Geography, Recreation, Park and Tourism Management, and Rural Sociology. ",Pennsylvania State University,4190,,,Curriculum,,Environmental Studies & Sciences,,,,,,,,Doctoral Degree,,,,,,http://agsci.psu.edu/hdnre
Environmental Studies (Bachelor),"Environmental studies encompasses a broad range of issues that arise from the interaction of humans with the natural world. To understand these issues, students must think across and beyond existing disciplinary boundaries. The environmental studies major provides a framework for students to examine how humans experience, investigate, and interact with their environment. The curriculum includes interdisciplinary course work that encourages students to explore the social, aesthetic, ethical, scientific, and technical aspects of environmental questions and to approach these questions with more focused knowledge and methodological tools through a major concentration. ",Bates College,4335,,,Curriculum,,Environmental Studies & Sciences,,,environmental studies,,,,,Baccalaureate degree,,,,,,http://www.bates.edu/environment/
"Concentration in Environment, Integrated Science & Technology (BS)","The Environment Sector of the BS Integrated Science and Technology (BSISAT) Program prepares students to apply an integrated understanding of environmental science and technology to practical, real-world problems. ",James Madison University,4345,,,Curriculum,,Environmental Studies & Sciences,,,,,,,,Specialization/Concentration/Emphasis,,,,,,http://www.jmu.edu/bsisat/academics/curriculum/year-3/index.shtml
Environmental Information Systems Minor,The cross disciplinary minor in environmental information systems is designed for undergraduates interested in using computer and information management technology to solve environmental problems and improve environmental stewardship. ,James Madison University,4345,,,Curriculum,,Environmental Studies & Sciences,,,information technology,,,,,Minor,,,,,,http://www.jmu.edu/catalog/16/minors/environmental-information-systems.shtml
Environmental Management Minor,"The cross disciplinary environmental management minor prepares students to apply the principles of environmental science and engineering to contemporary environmental problems in natural resource, industrial and public policy contexts. The minor is particularly suitable for students interested in professional careers in industrial environmental management, natural resources management, and environmental policy and planning. ",James Madison University,4345,,,Curriculum,,Environmental Studies & Sciences,,,,,,,,Minor,,,,,,http://www.jmu.edu/catalog/16/minors/environmental-management.shtml
Environmental Science Minor,"This minor is a cross disciplinary program that any student may elect. Students pursuing programs ranging from the physical, natural or social sciences to education, journalism or business could benefit from this broadly-based curriculum. The program draws from courses that focus on the application of scientific concepts and principles to the understanding of environmental problems and their solutions. ",James Madison University,4345,,,Curriculum,,Environmental Studies & Sciences,,,environmental science,,,,,Minor,,,,,,http://www.jmu.edu/catalog/16/minors/environmental-science.shtml
Environmental Studies Minor,"The environmental studies minor provides a cross disciplinary education engaging socio-cultural, scientific and technical issues raised by the oft-conflicting needs and desires of globally interacting societies. ",James Madison University,4345,,,Curriculum,,Environmental Studies & Sciences,,,environmental studies,,,,,Minor,,,,,,http://www.jmu.edu/catalog/16/minors/environmental-studies.shtml
E-badge: Leadership in Environmental Stewardship,"An e-badge is an award learners can share with potential employers, on their resume and with their social media networks. Earned e-badges also appear on thier co-curricular transcript at CCC. e-Badge earners will learn knowledge and skills in environmental stewardship, for their field of study or personal application. ",Central Community College,4372,,,Curriculum,,Environmental Studies & Sciences,,,,,,,,Specialization/Concentration/Emphasis,,,,,,http://www.cccneb.edu/ebadge/
Environmental Health & Safety (Bachelor),"The Environmental Health & Safety program will prepare students for employment as front-line health & safety technicians or managers required in many industries throughout the Midwest. This program is designed for students interested in pursuing a career in safety, industrial environmental regulations and compliance, hazardous materials handling and safe storage in industrial, medical, and educational environments. The Environmental Health & Safety (ENHS) coursework is available through on-line blended delivery leading to certificate, diploma, and degree award options focused on advanced programming in industrial safety",Central Community College,4372,,,Curriculum,,Environmental Studies & Sciences,,,environmental health,,,,,Baccalaureate degree,,,,,,http://catalog.cccneb.edu/content.php?catoid=31&navoid=2717
Environmental Science (BA/BS),"Environmental science is an interdisciplinary major focused on the application of scientific principles to the study of human interactions with the natural environment. As a science major, it provides a solid background in chemistry, biology, and earth sciences, including many courses with a strong environmental emphasis. ",Mills College,4409,,,Curriculum,,Environmental Studies & Sciences,,,environmental science,,,,,Baccalaureate degree,,,,,,http://www.mills.edu/academics/undergraduate/envs/
Environmental Studies (BA),Environmental studies is an interdisciplinary major designed to provide students with an understanding of ecological processes and environmental problems. ,Mills College,4409,,,Curriculum,,Environmental Studies & Sciences,,,environmental studies,,,,,Baccalaureate degree,,,,,,http://www.mills.edu/academics/undergraduate/evst/
Environmental Studies Minor,Environmental studies is an interdisciplinary major designed to provide students with an understanding of ecological processes and environmental problems. ,Mills College,4409,,,Curriculum,,Environmental Studies & Sciences,,,environmental studies,,,,,Minor,,,,,,https://www.mills.edu/academics/undergraduate-programs/majors-minors/environmental-studies.php
"Environmental Law, Science & Policy Certificate","The Environmental Law, Science & Policy program gives students the chance to study and work alongside faculty with international reputations in their fields. The program is cross-disciplinary and collaborative, drawing on the University of Arizona’s strengths in science and environmental studies. ",University of Arizona,4465,,,Curriculum,,Environmental Studies & Sciences,Law & Legal Studies,,environmental law,,,,,Graduate Certificate/Diploma,,,,,,https://law.arizona.edu/environmental-law-science-policy
"Soils, Water & Environmental Science Minor","The SWES minor provides students with scientific tools and experience needed to inform practitioners and policymakers in the areas on environmental science, including but not limited to, industrial hygiene, ecology, environmental chemistry, environmental law and more. ",University of Arizona,4465,,,Curriculum,Water,Environmental Studies & Sciences,,,environmental science,soils,,,,Minor,,,,,,https://swes.cals.arizona.edu/undergrad-program/guidelines
Environmental Studies Interdisciplinary Minor,"The Environmental Studies Interdisciplinary Minor aims to cultivate in students the capacity to identify and confront key environmental issues through a blend of multiple disciplines, encompassing historical, cultural, economic, political, scientific and ethical modes of inquiry. ",Haverford College,4470,,,Curriculum,,Environmental Studies & Sciences,,,environmental studies,,,,,Minor,,,,,,http://www.haverford.edu/environmentalstudies/
Earth & Environmental Studies (BA),"The BA program in earth and environmental studies provides a foundational understanding of the evolution of the earth system with an emphasis on the planetary context for sustainable human societies. The degree program includes broad training in the physical sciences, especially process-oriented geosciences that focus on Earth's life-sustaining surface environment. Advanced courses focus on topics including:",Arizona State University,4531,,,Curriculum,,Environmental Studies & Sciences,"Physical & Earth Sciences (Chemistry, Geology, Atmospheric Sciences, etc)",,environmental studies,,,,,Baccalaureate degree,,,,,,https://webapp4.asu.edu/programs/t5/majorinfo/ASU00/LAEESBA/undergrad/false
Environmental & Resource Management (BS),"The BS program in environmental and resource management provides critical scientific and management skills for graduates who will work in industry or government to ensure the health of natural ecosystems and mitigate the environmental impact of our industrial world. The curriculum combines a strong foundation in biology, chemistry, physics and mathematics, with a solid grounding in environmental law and policy. Students learn to apply environmental technologies to drinking water and wastewater treatment, management of hazardous and solid wastes, and control of industrial and mobile sources of air pollution. They study OSHA regulations on health and safety and strategies to protect workers in hazardous environments. International environmental issues and legal frameworks are included along with U. S. environmental laws. ",Arizona State University,4531,,,Curriculum,,Environmental Studies & Sciences,,,natural resources,,,,,Baccalaureate degree,,,,,,https://webapp4.asu.edu/programs/t5/majorinfo/ASU00/TSETMBS/undergrad/false
Environmental & Resource Management (MS),"The MS program in environmental and resource management provides students with a background in the sciences, engineering, environmental science, natural resources management, environmental health and safety, or other affiliated areas with the regulatory and technical background to mitigate the environmental impact of industrial sources of pollution, ensure compliance with environmental regulations, and manage and preserve natural ecosystems. The curriculum focuses on areas such as environmental law, air pollution, soils and groundwater contamination, water law and policy, environmental toxicology, hazardous waste management, natural resources management, occupational health and safety, sustainable development, and international environmental laws and policies. Graduate courses are available in a traditional face-to-face format as well as Web-based distance learning. While the faculty and program are based at the Polytechnic campus, the entire program can be completed online. It is possible to complete the program within two years, including summers. Many students are working professionals and are able to finish the degree while working full time. ",Arizona State University,4531,,,Curriculum,,Environmental Studies & Sciences,,,natural resources,,,,,Master's Degree,,,,Both,,https://webapp4.asu.edu/programs/t5/majorinfo/ASU00/ESERMMS/graduate/false
Environmental & Resource Management Minor,"The minor in environmental and resource management provides students with a thorough introduction to environmental regulations and key environmental management issues such as the provision of clean, potable water, wastewater treatment, solid and hazardous waste management, as well as remediation technologies for polluted soils, groundwater and air. Students learn to apply basic science and engineering principles to solving problems that significantly impact human health and ecosystems. ",Arizona State University,4531,,,Curriculum,,Environmental Studies & Sciences,,,natural resources,,,,,Minor,,,,,,https://webapp4.asu.edu/programs/t5/majorinfo/ASU00/ESERMMIN/undergrad/true
Environmental Life Sciences (PhD),"The focus is on collaborative and integrative study of the causes and consequences of environmental variation across scales ranging from the organism to the globe. The overall goal is to provide a unique, interdisciplinary PhD program that encourages students to explore and solve complex environment-organism questions in the context of natural and anthropogenic environmental change",Arizona State University,4531,,,Curriculum,,Environmental Studies & Sciences,,,environmental science,,,,,Doctoral Degree,,,,,,https://webapp4.asu.edu/programs/t5/majorinfo/ASU00/LAELSPHD/graduate/false
Environmental Studies Minor,"The minor and program bring together scholars and students from across the natural and social sciences and the humanities, allowing students and faculty to explore the interactions among earth systems, human societies, and local and global environments. A central goal for all students completing an Environmental Studies Minor is to become adept at approaching environmental issues from multiple disciplinary perspectives, and to be able to work with others across disciplinary boundaries. ",Bryn Mawr College,4614,,,Curriculum,,Environmental Studies & Sciences,,,environmental studies,,,,,Minor,,,,,,https://www.brynmawr.edu/environmentalstudies
Environmental Studies & Sciences (BA),"We emphasize the integration of problem-solving within an interdisciplinary framework. Our students design and carry out empirical research and develop and defend their conclusions through clear written and spoken presentations. Environmental Studies and Sciences students will graduate with rigorous and multifaceted problem-solving skills necessary to frame, describe, analyze, and offer realistic solutions to environmental challenges. ",Skidmore College,4696,,,Curriculum,,Environmental Studies & Sciences,,,environmental studies,environmental science,,,,Baccalaureate degree,,,,,,http://www.skidmore.edu/environmental_studies/index.php
Environmental Studies & Sciences Minor,"We emphasize the integration of problem-solving within an interdisciplinary framework. Our students design and carry out empirical research and develop and defend their conclusions through clear written and spoken presentations. Environmental Studies and Sciences students will graduate with rigorous and multifaceted problem-solving skills necessary to frame, describe, analyze, and offer realistic solutions to environmental challenges. ",Skidmore College,4696,,,Curriculum,,Environmental Studies & Sciences,,,environmental studies,environmental science,,,,Minor,,,,,,http://www.skidmore.edu/environmental_studies/
Ecosystem Management Technician (AS),"Fleming's Ecosystem Management Technician program highlights a holistic approach to the management of human activity within ecosystems. Students will study ecosystem composition, structure and function in wilderness, rural, and urban landscapes, and acquire a broad range of technical skills, as well as the flexibility to adapt to changing job requirements. ",Fleming College,4805,,,Curriculum,,Environmental Studies & Sciences,,,ecosystems,,,,,Associate (2-year) degree,,,,,,http://flemingcollege.ca/programs/ecosystem-management-technician
Environmental Studies Bachelor,"The Environmental Studies (ES) Program provides an interdisciplinary approach to the study of human interactions with the environment. The goal of the major is to equip students with the knowledge, intellectual tools and learning experiences necessary to understand the causes and consequences of our environmental challenges. The Program seeks to develop in students the creative problem solving skills necessary to design and develop a more sustainable relationship between humans and the rest of the natural world. Core courses in the program build a foundation in natural and social sciences and the humanities; these provide the lateral rigor necessary to understand and analyze issues from multiple disciplinary perspectives. Students then select from a broad range of intermediate and advanced courses to develop a focused course of study or “curricular pathway”. Many ES majors augment their experience at Oberlin by participating in study away programs and summer internships. The ES major at Oberlin prepares students for graduate work and careers in a broad range of professional and academic fields. The Adam Joseph Lewis Center, which houses Oberlin’s ES Program, is an internationally recognized facility that is designed to showcase environmentally responsible architecture, and to serve as an integrated component of the curriculum. ",Oberlin College,4918,,,Curriculum,,Environmental Studies & Sciences,,,environmental studies,,,,,Baccalaureate degree,,,,,,http://new.oberlin.edu/arts-and-sciences/departments/environment/
Environmental Studies Minor,"A student interested in a focused, but less extensive, study of the environment may pursue a minor in Environmental Studies. A minor must include ENVS 101 (Environment and Society) and in addition a minimum of five full courses that count towards the ES major requirements. These must include two or more courses at the non-introductory level; at least two in the natural sciences, and at least two in social sciences or humanities. At least one of the science classes must incorporate a lab. At least three of these courses must be taken at Oberlin.",Oberlin College,4918,,,Curriculum,,Environmental Studies & Sciences,,,environmental studies,,,,,Minor,,,,,,http://new.oberlin.edu/arts-and-sciences/departments/environment/
Environmental Science (BS),"Environmental Science is an interdisciplinary major with foundational courses in chemistry and either biology, organic chemistry, or physics. Advanced courses in applied ecology, water resources, climate, and renewable energy provide depth to this program. ",Santa Clara University,5444,,,Curriculum,,Environmental Studies & Sciences,,,environmental science,,,,,Baccalaureate degree,,,,,,https://www.scu.edu/cas/ess/academic-programs/major/environmental-science-major/
Environmental Studies & Sciences Minor,"Available to all SCU undergraduates, the minor consists of courses in specific areas of environmental studies: scientific foundations, methods, ethical dimensions, and political and legal issues. ",Santa Clara University,5444,,,Curriculum,,Environmental Studies & Sciences,,,environmental studies,environmental science,,,,Minor,,,,,,https://www.scu.edu/cas/ess/academic-programs/minor/
Environmental Studies Major,"The Environmental Studies degree provides an integrated, interdisciplinary social science degree opportunity for undergraduates. Foundational courses introduce key concepts from geography and philosophy to economics. Advanced courses in areas such as resource economics, sustainable development, and environmental law and policy provide depth to this program. ",Santa Clara University,5444,,,Curriculum,,Environmental Studies & Sciences,,,environmental studies,,,,,Baccalaureate degree,,,,,,https://www.scu.edu/cas/ess/academic-programs/major/environmental-studies-major/
Integrated Bachelor’s Degree in Natural & Built Environments (BS),"The aim of this bachelor's degree is to train professionals in the environment and, in particular, in the conservation and sustainable management of natural environments. This practical multidisciplinary training will enable students to apply the principles of ecology and natural resource management to the maintenance, enhancement and restoration of biodiversity while taking into account the needs of communities. ",Universite Laval,6342,,,Curriculum,,Environmental Studies & Sciences,,,natural resources,,,,,Baccalaureate degree,,,,,,http://www2.ulaval.ca/les-etudes/programmes/repertoire/details/baccalaureat-integre-en-environnements-naturels-et-amenages-b-sc-a.html
Environmental & Sustainability Studies (BA),"With a BAESS, Students will gain a broad overview of environmental sustainability problems and the tools needed to address these issues. This is a joint degree between SPEA and the College of Arts and Sciences—Students benefit by being able to combine courses from SPEA and College departments, including Anthropology, Biology, Geography, Geology, Political Science, and more. ",Indiana University Bloomington,6354,,,Curriculum,,Environmental Studies & Sciences,Sustainability Studies & Science,,environmental studies,,,,,Baccalaureate degree,,,,,,https://spea.indiana.edu/undergraduate/majors-minors-certificates/baess.html
